label,Engagement_mean,Fear_trend,Disgust_trend,Contempt_trend,Surprise_trend,Sadness_trend,Sadness_mean,Anger_trend,Attention_trend,Sentimentality_trend,Confusion_std,Sadness_max,Neutral_trend,Joy_std,Confusion_trend,Gamma_TP9_slope,Confusion_mean,Theta_AF8_std,Delta_TP9_std,Gamma_AF8_std,Disgust_std,Delta_TP9_slope,Alpha_TP9_std,Beta_AF7_std,Fear_std,Sentimentality_max,Beta_AF7_slope,Contempt_max,Sentimentality_std,Anger_max,Beta_TP9_std,Beta_TP10_std,Surprise_std,Sentimentality_min,Delta_AF8_std,Attention_mean,Beta_AF8_std,RAW_AF7_mean,Delta_AF7_std,Attention_std,Gamma_TP9_std,RAW_AF8_slope,Anger_std,Contempt_std,Attention_max
Engagement,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1266928575932979,0.0,0.0,0.0,0.0002180042396449,0.1272837817668914,0.0,2.498998071512209e-05,0.0,0.0,0.0007832230330677,0.0048270296513999,0.0082593846033219,0.0110694406384214,1.2222038912811866e-05,0.0,0.0220725009079828,0.0311128548828562,0.0022173877233488,0.0572929270565509,0.0,0.1905961483716964,0.0182331150451158,0.1291901618242263,0.0106186809565559,2.450898564252753e-15,0.0015404611077035,0.0177147686481475,0.0144437195779592,98.38265609741212,0.0026170119211564,859.6492510958903,0.0287011238306124,0.224678475740288,0.0054588011014673,0.0,0.0007674344744557,0.0009804244206226,98.65956115722656
Engagement,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1273594163358211,0.0,0.0,0.0,9.544474279368136e-05,0.1278245896100997,0.0,6.728934868343262e-06,0.0,0.0001712816801456,0.0015195497253443,0.005232302315883,0.0347126909746164,0.0204020529550455,1.3454471957717804e-05,0.0007487694642115,0.0554508961294158,0.0189815831411159,0.0005618483401021,0.0333383940160274,0.0003975609216442,0.1909579634666442,0.0050035792969316,0.1267055422067642,0.0068991961984741,2.8958169431994967e-15,0.0010914432855413,0.0224014893174171,0.0049235182486143,98.47233963012694,0.0043839189658877,858.2879518471339,0.0751152413212281,0.0629787137468649,0.0097402394796312,0.0300026013557514,0.0001707703253575,0.0005299107247554,98.51827239990232
Attention,0.3287661075592041,-0.0001079201698303,5.297362804410067e-06,0.000139445066452,0.0001812681555747,4.464089870451771e-05,0.1270435541868209,0.0001251548528671,-0.052342224121098,0.0063717873767018,0.0001683165666521,0.1272343844175338,-0.0002777099609375,1.7284037844995064e-05,-0.0001050596241839,0.0002102280156668,0.0013823428889736,0.0791184621679216,0.0610044951223085,0.0600412240654161,8.692141209710563e-06,-0.001174991637065,0.0147919114338771,0.013036996291532,0.0002695803854458,0.0464897900819778,-0.0002829953742324,0.1909954249858856,0.0126671373962107,0.1271345019340515,0.020337982462968,2.450956851672389e-15,0.0005327686998153,0.0168224889785051,0.0840816823070747,98.49504699707032,0.0058312280953609,860.1258015172414,0.0450672541880321,0.1520756864562782,0.0144961838825012,-0.0489577877105967,0.0002034863929743,0.0002549582928813,98.69925689697264
Engagement,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1268956325948237,0.0,0.0,0.0,2.178397664879191e-05,0.1272343844175338,0.0,6.187774913261919e-06,0.0,-0.0005444949714399,0.001113694597734,0.1847898389044003,0.1848041293801972,0.0293900380527119,3.206373386833598e-06,-0.0039774559371492,0.0141230165119663,0.0303163169579194,0.0006483708014294,0.0464897900819778,-0.0006546063634728,0.1909954249858856,0.0045597352403197,0.1271345019340515,0.0608188805489947,2.8958169431994967e-15,0.000859603722614,0.0366630554199218,0.2333537775803224,98.27370643615724,0.0210439890565738,857.8901491082803,0.037562773317945,0.185261003427423,0.0278835399461989,0.0725948872171124,0.0003605616285176,0.0007010362565961,98.50799560546876
Engagement,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1264628581702708,0.0,0.0,0.0,7.06837973494766e-05,0.1269403547048568,0.0,3.4222245640902422e-06,0.0,-7.408520643268676e-05,0.0010004218493122,0.0240382493641951,0.0196566284408967,0.0298833706843296,3.340448651650524e-06,-0.0001557277196583,5.56887873692211e-16,0.0226218389406465,0.0014519733855654,0.0235779676586389,-0.0004834560773138,0.1912049651145935,0.0025281497542269,0.1267233937978744,0.0021510302391638,2.8958169431994967e-15,0.0027422715242099,0.0178880523890256,0.0771737962596231,98.70034217834473,0.0111528431916528,850.5398818471338,0.0360823556400514,0.0757358279444471,0.004507101960003,0.0031862220678619,9.96148993424732e-05,0.0011728553129873,98.7769775390625
Attention,0.3287661075592041,-5.4751336574554446e-05,-5.153939127930038e-06,0.000111648440361,-0.0006179612129926,0.0001170307397842,0.1271958172321319,8.285343647003175e-05,-0.0917846679687542,0.0082157211378216,0.000165001228069,0.1274025738239288,-0.0002235412597698,1.8311626256123604e-05,0.0001020389841869,0.0,0.0011435277177951,0.0391491820044458,1.0583932523823097e-15,0.0435356560841493,8.863578772267262e-06,0.0,5.570490802012158e-16,0.0106870075395175,0.0002287949715869,0.0532411225140094,-2.8250836026043128e-05,0.1917988359928131,0.0134324869593469,0.1272027045488357,9.469834363420666e-16,2.2281963208048626e-15,0.0010326757597292,0.0228189267218112,0.0363825387996561,98.4699920654297,0.0285088526962287,854.9539509722222,0.05131327419505,0.1627738160896186,3.8993435614085095e-16,-0.0467057637247807,0.000198178166656,0.0002383034033503,98.59691619873048
Engagement,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1272541284561157,0.0,0.0,0.0,5.910705159058465e-05,0.1274025738239288,0.0,1.3240787652870974e-05,0.0,-0.0004020409550396,0.0013630586909129,0.036899150435882,0.125346314733646,0.0063567986954687,9.29183776496533e-06,0.0023939271203483,0.0426208394642375,0.0318432645893919,0.0006956024204188,0.0521909818053245,0.0006360245761226,0.1916318535804748,0.0097401243801438,0.126965582370758,0.031680256706762,3.340808120384864e-15,0.0004139561229234,0.0306054223328828,0.107992509220392,98.18645477294922,0.0124415802991735,852.2222166666666,0.0147266714754322,0.1140584459547897,0.0220026692358732,0.0209489664467181,0.0001028377356679,0.0005886175571264,98.27944946289062
Attention,0.3287661075592041,-0.0002319410443305,4.233419895180099e-06,0.0003263354301452,0.0012169204652309,9.893029928206842e-05,0.1269429385662078,0.0002430126070976,0.0668739318847684,-0.0015096598304807,3.6112800705383496e-05,0.1272298395633697,-0.0006530761718707,2.2464885085310518e-06,-9.593891445530018e-06,-0.0011351983982941,0.0013555839192121,0.0083438241290758,0.0322462885663845,0.0058608957297422,7.701082818921813e-06,-0.0006884860803036,0.0527345598450141,0.0010806611974407,0.0005382756462484,0.028854813426733,1.144415444755827e-05,0.190931349992752,0.0053101883954248,0.1267159283161163,0.0125880975530201,2.4507843644733533e-15,0.0020729974268429,0.015056568197906,0.0168552165665947,98.1969757080078,0.0162462016376523,852.2549719594596,0.0039403151050321,0.1840985998841429,0.0511678234803127,0.006354171938683,0.0004465236760626,0.0006495533021233,98.41203308105467
Attention,0.3287661075592041,0.0001793757081031,-1.0282546281820472e-05,0.000128960609436,0.0014190226793289,0.0001807317137718,0.1273995786905288,0.0001746162772178,-0.0278778076171889,-0.0025079416111111,0.0001594293551468,0.1277894675731658,-0.0002586364746093,1.2330576914604272e-05,9.171138517559e-05,0.0004569163131717,0.0014828846091404,0.0411384631354566,0.0325709320323141,0.003387924517954,1.7977703361697875e-05,0.00065653144056,0.0417127261380526,0.0088140633455311,0.0005300182848423,0.0451288931071758,-0.0001859671428827,0.1908780038356781,0.0093441625324907,0.1279574185609817,0.0230713282925896,3.118446371683297e-15,0.0024248341964143,0.0213177409023046,0.0142950223658426,98.32756652832032,0.0128518224997748,850.938322955975,0.1660393490515781,0.1444074495200653,0.0218960217301046,0.0270079859087651,0.0005211135528387,0.0002625115657215,98.46239471435548
Attention,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1282038800418376,0.0,0.0,0.0,0.0001677275978894,0.1286830902099609,0.0,5.04248795477394e-06,0.0,0.0001989202484472,0.0017934109782799,0.060809621569268,0.0376935877733132,0.016579011114199,2.534354211244916e-05,-0.0007622956583695,0.0578820540925986,0.0173164187583161,0.000605118936269,0.0250843819230794,-0.0003392892765195,0.191411554813385,0.008000655820352,0.1270721554756164,0.0181816296422569,3.1182636377244704e-15,0.0007950482128111,0.0056980950757861,0.0312158624147691,98.13956069946288,0.0103153142343879,847.9794662962962,0.090514948385337,0.6118438134818401,0.0096818389368712,-0.0193145404559381,0.000416113331186,0.0002731864282084,98.59291839599608
